词语,频率
汉语,42
英语,39
声音,32
使用,26
语言,22
他们,19
中国,16
发音,16
问题,15
种类,15
这个,14
能够,14
表达,13
美国,13
认为,12
思维,12
没有,12
但是,12
两个,12
单词,12
可以,11
普通话,11
任何,11
世界,10
因为,10
速度,10
所有,9
由于,9
就是,9
知道,9
记忆,9
时候,9
如果,9
那么,8
汉字,8
应该,8
掌握,8
比如,7
增加,7
广东话,7
声调,7
所以,7
曾经,7
全世界,6
知识,6
这样,6
需要,6
很多,6
仅仅,6
对于,6
后来,5
原来,5
什么,5
时代,5
西方,5
依然,5
世界语,5
一种,5
声母,5
韵母,5
实际上,5
辅音,5
为什么,5
符号,5
代表,5
生物,5
可是,5
名字,5
婴儿,4
发现,4
已经,4
演化成,4
唯一,4
方面,4
还是,4
拼音文字,4
信息,4
爆炸,4
人类,4
更加,4
不同,4
学者,4
不是,4
辩论,4
是不是,4
回答,4
利用率,4
容易,4
的话,4
元音,4
这里,4
比较,4
一下,4
英国人,4
可能,4
而且,4
解释,4
文化,4
尼基人,4
分解,4
目前,4
猪肉,4
设立,4
方法,4
要求,4
还有,4
事情,4
先进,3
出来,3
现在,3
拉丁语,3
过程,3
这是,3
明显,3
概念,3
思想,3
当然,3
你们,3
专家,3
资格,3
来讲,3
心里,3
结果,3
只有,3
提出,3
使得,3
文字,3
一样,3
实际,3
看到,3
常用,3
不会,3
超过,3
承认,3
或者,3
两者,3
讨论,3
大家,3
假设,3
两种,3
事物,3
四分之一,3
不但,3
一生,3
日语,3
日本,3
历史,3
有关,3
使用者,3
一定,3
来说,3
以后,3
有人,3
减少,3
人们,3
英语单词,3
考虑,3
一些,3
进行,3
联体,3
词汇,3
林奈,3
类名,3
一百个,3
莎士比亚,3
范围,3
标准,3
至少,3
核试,3
转载,2
年前,2
罗嗦,2
那些,2
东西,2
完成,2
根本,2
不用,2
腓尼基,2
希腊语,2
变成,2
法语,2
成为,2
斯拉夫,2
语系,2
同时,2
计算机,2
适合,2
语音,2
尽量,2
宣传,2
优势,2
发展,2
论文,2
伟大,2
在于,2
化学,2
反之,2
成果,2
所谓,2
西方人,2
同样,2
内容,2
浪费,2
按照,2
简单,2
乘法,2
就要,2
以上,2
文盲,2
文本,2
淘汰,2
一次,2
一位,2
多于,2
第一,2
第二,2
有个,2
利用,2
真正,2
用到,2
即使,2
说明,2
必然,2
元素,2
包括,2
其实,2
其他人,2
极限,2
所说,2
音节,2
看出,2
比值,2
下面,2
北大,2
弄清楚,2
希望,2
仅会发,2
具体,2
根据,2
理论,2
一件,2
仅会,2
一般,2
时间,2
享受,2
因此,2
思考,2
出现,2
背诵,2
想到,2
聪明,2
一大,2
希腊人,2
采用,2
区别,2
突然,2
现象,2
那时,2
最后,2
各种,2
术语,2
这些,2
原因,2
它们,2
形式,2
四次,2
两次,2
节省,2
别人,2
双名,2
以前,2
另外,2
一万个,2
分成,2
随着,2
必要,2
其他,2
办法,2
结构,2
数量,2
国家,2
到底,2
多少,2
三万个,2
丘吉尔,2
那个,2
网上,2
总是,2
受过,2
教育,2
软肋,2
只要,2
自己,2
劣等,2
信心,2
喜欢,2
毛病,2
对比,2
三四十,2
取得,2
一千,2
多次,2
事件,2
参议员,2
进展,2
告诉,2
议案,2
语言学,2
超出,2
不敢,2
懂得,2
意见,2
音阶,2
标题,1
强烈推荐,1
进化,1
七千年,1
字格,1
无用,1
抛弃,1
动作,1
表现,1
过去,1
古埃及,1
楔形文字,1
古文字,1
演化,1
向东,1
俄语,1
宗教,1
传播,1
史是,1
天主教,1
分化,1
基督教,1
东正教,1
字母,1
高级,1
用于,1
控制,1
那样,1
用手,1
瞎摸,1
决定,1
命运,1
朋友,1
广阔,1
数学,1
单音节,1
数字,1
反应速度,1
逻辑思维,1
人类文明,1
趋势,1
作为,1
表意文字,1
自由组合,1
新名词,1
以至,1
容纳,1
冲击,1
无疑,1
共同语言,1
交流思想,1
方便,1
丰富多彩,1
并用,1
兼容,1
看看,1
学术论文,1
阿拉伯数字,1
混用,1
现相,1
英语论文,1
中则,1
不到,1
物理学,1
凭借,1
中学,1
基础知识,1
通读,1
英美,1
行业,1
交流,1
学术,1
对牛弹琴,1
国内,1
有些,1
还要,1
汉语拼音,1
邯郸学步,1
东施效颦,1
人民,1
控告,1
文明,1
制造,1
环境污染,1
破坏,1
森林,1
草原,1
印刷,1
本书,1
纸张,1
多倍,1
因素,1
木材,1
工业废水,1
优越性,1
说三道四,1
联合国,1
五种,1
工作,1
找出,1
最薄,1
一本,1
成见,1
迟早,1
记得,1
大概,1
胡野,1
干脆,1
清楚,1
几天,1
世纪,1
大讲堂,1
李锐,1
全球化,1
统治,1
阮次,1
故事,1
谈到,1
既然,1
更快,1
虽然,1
缺点,1
规划,1
不好,1
欠佳,1
闭音节,1
存在,1
不高,1
四声,1
连乘,1
仅个,1
九声,1
两倍,1
多才,1
相差不多,1
几乎,1
一倍,1
每次,1
练习,1
日常生活,1
凡是,1
等到,1
越是,1
经常,1
好坏,1
取决于,1
很少,1
有生之年,1
一句,1
最好,1
不学,1
或者说,1
学少,1
知多,1
相比,1
国际音标,1
反过来说,1
四百个,1
之内,1
正确,1
远大于,1
要说,1
去年,1
中文论坛,1
一个月,1
会发,1
电脑,1
他用,1
整个,1
上仅,1
有种,1
有时,1
不得不,1
九个,1
九次,1
方才,1
大于,1
每发,1
大约,1
消耗,1
得慢,1
费力气,1
而仅会,1
总以,1
比例,1
生活,1
一辈子,1
反比,1
情况,1
对照,1
人一念,1
必须,1
三个,1
一半,1
从来,1
思想家,1
说话,1
跟着,1
例子,1
赵元任,1
口诀,1
九九八十一,1
不了,1
说不定,1
七七四十,1
证明,1
一点,1
国内外,1
许多,1
证实,1
至于,1
是否,1
证据,1
古希腊,1
希腊,1
自古,1
发明,1
拼音字母,1
进步,1
倒退,1
为了,1
筛选,1
区分,1
结合,1
等于,1
好几倍,1
事实上,1
否则,1
栽体,1
耳朵,1
四种,1
突飞猛进,1
造成,1
论坛,1
英国,1
趋于,1
保守,1
元朝,1
失掉,1
入声,1
衰弱,1
正巧,1
开始,1
尼安德,1
特人,1
人种,1
之所以,1
必定,1
战胜,1
关键,1
解决,1
面临,1
名称,1
专利发明,1
数百万,1
中有,1
推导,1
联想,1
成份,1
后缀,1
复合词,1
基本,1
一百万个,1
四千个,1
不够,1
关系,1
联合体,1
而已,1
羊肉,1
牛肉,1
猪油,1
羊油,1
牛油,1
放在,1
一起,1
其中,1
毫无,1
关联,1
构成,1
英语词汇,1
主体,1
几百万,1
根本原因,1
改成,1
连在一起,1
分体,1
无需,1
次数,1
设想,1
屠夫,1
每天,1
词上,1
千次,1
两千次,1
何乐不为,1
遇到,1
驴肉,1
用来,1
记不住,1
功能,1
非常,1
有用,1
大大,1
不仅如此,1
头脑,1
位置,1
整理,1
清清楚楚,1
达尔文主义,1
诞生,1
建立,1
基础,1
之上,1
印象,1
脑子,1
平面,1
立体,1
太多同,1
分类,1
并且,1
给出,1
然后,1
组成,1
清晰,1
大大的,1
每类,1
一百种,1
种名,1
二百个,1
逐渐,1
恶化,1
仿照,1
改造,1
改革,1
最先,1
德国,1
莱布尼兹,1
体会,1
亚里士,1
多得,1
以来,1
梦寐以求,1
组义,1
特性,1
性能,1
定义,1
今天,1
废除,1
关于,1
记住,1
通常,1
三到,1
四千,1
本人,1
全部,1
拥有,1
百万,1
熟练程度,1
后人,1
根本无法,1
达到,1
高等教育,1
机构,1
请教,1
含糊不清,1
别的,1
无法,1
避免,1
文章,1
语言学家,1
五到,1
二十五万,1
差距,1
很大,1
衡量,1
推崇,1
躲过,1
观点,1
中文,1
看得出来,1
民族,1
鼓舞,1
努力,1
恢复,1
早就,1
领先,1
太爱,1
钻牛角尖,1
外国人,1
一套,1
拼命,1
换换,1
口味,1
记起,1
几年,1
指手划脚,1
掣肘,1
拖腿,1
一份,1
报告,1
例举,1
大量,1
用以,1
通过,1
核实验,1
相同,1
盗窃,1
技术,1
这次,1
李文何,1
各发,1
一封,1
电子,1
信件,1
彻底,1
调查,1
此事,1
调查小组,1
好好,1
研究,1
上面,1
差异,1
相差无几,1
后面,1
附上,1
计算,1
接到,1
不少,1
回信,1
真实,1
地址,1
继续,1
明白,1
哪个,1
本身,1
变相,1
贬低,1
愿意,1
道理,1
非常明显,1
下去,1
牵扯,1
诸多,1
一块,1
伤疤,1
一直,1
降低,1
人民币,1
汇率,1
态度,1
礼貌,1
这套,1
一旦,1
理性,1
非常容易,1
上来,1
换句话说,1
狭窄,1
长远,1
利益,1
这话,1
工科,1
工程,1
有点,1
把握,1
碰到,1
经济,1
没底,1
类似,1
改头换面,1
设计,1
远远,1
常人,1
弥补,1
缺陷,1
当时,1
派生,1
以及,1
再也,1
发言,1
运动,1
争求,1
可想而知,1
推行,1
推向,1
深渊,1
摧毁,1
拯救,1
重新,1
选择,1
一门,1
带有,1
没学过,1
只好,1
唱歌,1
跟随,1
变化,1
八种,1
作用,1
差不多,1
上述,1
影响,1
团结,1
国力,1
越来越少,1
借口,1
威胁,1
