Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"猫とアレルギー","きのこ帝国","猫とアレルギー","リプレイ：2025年","Playlist","JPPO01509963","1440797365"
"ちりとり","神聖かまってちゃん","友だちを殺してまで。","リプレイ：2025年","Playlist","JPC620900707","1807511796"
"グロい花 (feat. 戸川純)","神聖かまってちゃん","グロい花 (feat. 戸川純) - Single","リプレイ：2025年","Playlist","JPWP02301126","1710556623"
"春日影 (MyGO!!!!! ver.)","MyGO!!!!!","迷跡波","リプレイ：2025年","Playlist","JPR562300280","1783644617"
"Duvet","bôa","Twilight","リプレイ：2025年","Playlist","USCGJ0659337","1596227762"
"プロポーズ","内緒のピアス","プロポーズ - Single","リプレイ：2025年","Playlist","JPZ922307420","1705536695"
"るるちゃんの自殺配信","神聖かまってちゃん","児童カルテ","リプレイ：2025年","Playlist","JPWP01971037","1483104730"
"無路矢","MyGO!!!!!","無路矢 - Single","リプレイ：2025年","Playlist","JPR562300217","1783540641"
"潜在表明","MyGO!!!!!","潜在表明 - Single","リプレイ：2025年","Playlist","JPR562200437","1783601123"
"大石碎胸口","万能青年旅店","万能青年旅店","リプレイ：2025年","Playlist","FR26V2014403","1538548882"
"フロントメモリー (の子vo.ver)","神聖かまってちゃん","英雄syndrome","リプレイ：2025年","Playlist","JPWP01470911","899346769"
"Imprisoned XII","Ave Mujica","Imprisoned XII - Single","リプレイ：2025年","Playlist","JPR562500063","1796790572"
"夜隠染","MyGO!!!!!","跡暖空","リプレイ：2025年","Playlist","JPR562400338","1779893146"
"夕方のピアノ(2015remaster)","神聖かまってちゃん","ベストかまってちゃん","リプレイ：2025年","Playlist","JPWP01570736","997718178"
"Spica","水中スピカ","Lux","リプレイ：2025年","Playlist","JPG102402432","1781851610"
"ロックンロールは鳴り止まないっ","神聖かまってちゃん","友だちを殺してまで。","リプレイ：2025年","Playlist","JPC620900701","1807511093"
"ぺんてる","神聖かまってちゃん","友だちを殺してまで。","リプレイ：2025年","Playlist","JPC620900702","1807511119"
"フロントメモリー feat.川本真琴","神聖かまってちゃん","フロントメモリー - Single","リプレイ：2025年","Playlist","JPWP01470103","839980904"
"Old Memory","Bruno Wen-li","ヨスガノソラ オリジナルサウンドトラック/オープニング主題歌&番組挿入歌アルバム","リプレイ：2025年","Playlist","JPKI01110116","1733422123"
"ズッ友","神聖かまってちゃん","ズッ友 - Single","リプレイ：2025年","Playlist","JPWP01470600","883335384"
"23才の夏休み","神聖かまってちゃん","友だちを殺してまで。","リプレイ：2025年","Playlist","JPC620900704","1807511540"
"僕は頑張るよっ (feat. ano)","神聖かまってちゃん","僕は頑張るよっ (feat. ano) - Single","リプレイ：2025年","Playlist","JPWP02301003","1706287219"
"ヨスガノソラ メインテーマ-記憶-","Bruno Wen-li","ヨスガノソラ オリジナルサウンドトラック/オープニング主題歌&番組挿入歌アルバム","リプレイ：2025年","Playlist","JPKI01110124","1733422111"
"Группа крови","Кино","Группа крови","リプレイ：2025年","Playlist","RUB421401310","1333011553"
"天球(そら)のMúsica","Ave Mujica","天球(そら)のMúsica - Single","リプレイ：2025年","Playlist","JPR562500067","1802816613"
"グロい花","神聖かまってちゃん","8月32日へ","リプレイ：2025年","Playlist","JPWP01170664","457993617"
"躁鬱電池メンタル","神聖かまってちゃん","ズッ友 - Single","リプレイ：2025年","Playlist","JPWP01470602","883335386"
"雑踏、僕らの街","トゲナシトゲアリ","雑踏、僕らの街 - Single","リプレイ：2025年","Playlist","JPPO02400704","1737842246"
"カエルのうた","神聖かまってちゃん","カエルのうた - Single","リプレイ：2025年","Playlist","JPC622400802","1769542103"
"回層浮","MyGO!!!!!","砂寸奏/回層浮 - Single","リプレイ：2025年","Playlist","JPR562400027","1784376470"
"ヨスガノソラ メインテーマ-遠い空へ-","Bruno Wen-li","ヨスガノソラ オリジナルサウンドトラック/オープニング主題歌&番組挿入歌アルバム","リプレイ：2025年","Playlist","JPKI01110101","1733422107"
"友達なんていらない死ね","神聖かまってちゃん","楽しいね","リプレイ：2025年","Playlist","JPWP01271449","574470577"
"詩超絆","MyGO!!!!!","詩超絆 - Single","リプレイ：2025年","Playlist","JPR562300278","1783498251"
"僕は頑張るよっ","神聖かまってちゃん","8月32日へ","リプレイ：2025年","Playlist","JPWP01170669","457994104"
"Oshiroi","水中スピカ","mEq","リプレイ：2025年","Playlist","TCJPT2255837","1709936571"
"霧周途","MyGO!!!!!","霧周途 - Single","リプレイ：2025年","Playlist","JPR562400336","1775857498"
"フロントメモリー (feat. ACAね)","神聖かまってちゃん","フロントメモリー (feat. ACAね) - EP","リプレイ：2025年","Playlist","JPWP02300904","1701175553"
"誰にもなれない私だから","トゲナシトゲアリ","誰にもなれない私だから - Single","リプレイ：2025年","Playlist","JPPO02400800","1739005104"
"夜のブランコ","神聖かまってちゃん","団地テーゼ","リプレイ：2025年","Playlist","JPC622400805","1780756613"
"空の箱 (井芹仁菜、河原木桃香)","トゲナシトゲアリ","空の箱 (井芹仁菜、河原木桃香) - Single","リプレイ：2025年","Playlist","JPPO02400799","1737948775"
"僕の戦争","神聖かまってちゃん","僕の戦争 - Single","リプレイ：2025年","Playlist","JPPC02002014","1552682825"
"33才の夏休み","神聖かまってちゃん","ツン×デレ","リプレイ：2025年","Playlist","JPWP01870492","1386734586"
"夕暮れの鳥","神聖かまってちゃん","夕暮れの鳥/光の言葉 - EP","リプレイ：2025年","Playlist","JPPC01700314","1228962621"
"Georgette Me, Georgette You","Ave Mujica","Georgette Me, Georgette You - Single","リプレイ：2025年","Playlist","JPR562400487","1783598946"
"死にたいひまわり","神聖かまってちゃん","団地テーゼ","リプレイ：2025年","Playlist","JPC622400804","1780756611"
"ヨゾラノ流星群","神聖かまってちゃん","ヨゾラノ流星群 - Single","リプレイ：2025年","Playlist","JPC622400801","1751630521"
"杀死那个石家庄人","万能青年旅店","万能青年旅店","リプレイ：2025年","Playlist","FR26V2014409","1538548895"
"採石","万能青年旅店","冀西南林路行","リプレイ：2025年","Playlist","CNA792004473","1545535006"
"曇心","未来電波基地","船橋INCIDENT / 717","リプレイ：2025年","Playlist","TCJPI1983325","1458300270"
"死にたい季節","神聖かまってちゃん","友だちを殺してまで。","リプレイ：2025年","Playlist","JPC620900703","1807511311"
"輪符雨","MyGO!!!!!","輪符雨 - Single","リプレイ：2025年","Playlist","JPR562400098","1783499274"
"iki","水中スピカ","Lux","リプレイ：2025年","Playlist","JPG102402429","1781851217"
"MIYAKO","水中スピカ","Lux","リプレイ：2025年","Playlist","JPG102402435","1781851613"
"1999年の夏","神聖かまってちゃん","団地テーゼ","リプレイ：2025年","Playlist","JPC622400816","1780756793"
"金木犀の夜","きのこ帝国","タイム・ラプス","リプレイ：2025年","Playlist","JPPO01803518","1429356262"
"ロックンロールは鳴り止まないっ - From THE FIRST TAKE","神聖かまってちゃん","ロックンロールは鳴り止まないっ - From THE FIRST TAKE - Single","リプレイ：2025年","Playlist","JPC622500201","1799950278"
"拍動","水中スピカ","Lux","リプレイ：2025年","Playlist","JPG102402430","1781851218"
"砂寸奏","MyGO!!!!!","砂寸奏/回層浮 - Single","リプレイ：2025年","Playlist","JPR562400026","1784376318"
"クロノスタシス","きのこ帝国","フェイクワールドワンダーランド","リプレイ：2025年","Playlist","JPB451403392","926192009"
"Angles","Ave Mujica","Angles - Single","リプレイ：2025年","Playlist","JPR562300584","1783422482"
"このバトンを海に思いっきり投げて","神聖かまってちゃん","団地テーゼ","リプレイ：2025年","Playlist","JPC622400808","1780756620"
"視界の隅 朽ちる音 (新川崎(仮))","トゲナシトゲアリ","視界の隅 朽ちる音 (新川崎(仮)) - Single","リプレイ：2025年","Playlist","JPPO02401165","1742492071"
"心象的フラクタル (beni-shouga)","トゲナシトゲアリ","心象的フラクタル (beni-shouga) - Single","リプレイ：2025年","Playlist","JPPO02401166","1742492274"
"Os-宇宙人","エリオをかまってちゃん","Os-宇宙人 - EP","リプレイ：2025年","Playlist","JPKI01111957","431556820"
"夜に駆ける","YOASOBI","夜に駆ける - Single","リプレイ：2025年","Playlist","JPP301900716","1490256995"
"ユーリカ","きのこ帝国","eureka","リプレイ：2025年","Playlist","JPB451202867","594107968"
"大風吹","No Party For Cao Dong","醜奴兒","リプレイ：2025年","Playlist","TWBN31600005","1676735991"
"最果てフィールド","神聖かまってちゃん","団地テーゼ","リプレイ：2025年","Playlist","JPC622400813","1780756633"
"少女A","椎名もた","生きる","リプレイ：2025年","Playlist","JPJ931400241","1589119763"
"処救生","MyGO!!!!!","処救生 - Single","リプレイ：2025年","Playlist","JPR562300524","1783601163"
"Rain (Long Ver.)","秦 基博","言ノ葉 - EP","リプレイ：2025年","Playlist","JPBV01320504","1444874435"
"名無声 (instrumental)","MyGO!!!!!","MyGO!!!!! Instrumental Collection 1","リプレイ：2025年","Playlist","JPR562200380","1783821268"
"栞","MyGO!!!!!","栞 - Single","リプレイ：2025年","Playlist","JPR562300272","1783498842"
"影色舞","MyGO!!!!!","影色舞 - Single","リプレイ：2025年","Playlist","JPR562200427","1783599951"
"迷星叫","MyGO!!!!!","迷星叫 - Single","リプレイ：2025年","Playlist","JPR562200377","1783599667"
"夜が明けたら","きのこ帝国","渦になる","リプレイ：2025年","Playlist","JPB451102526","521644974"
"メアの教育","R Sound Design","メディカルミライ - EP","リプレイ：2025年","Playlist","TCJPL2004311","1515890541"
"端程山","MyGO!!!!!","端程山 - Single","リプレイ：2025年","Playlist","JPR562400187","1783498579"
"床","No Party For Cao Dong","瓦合","リプレイ：2025年","Playlist","TWKH12300007","1679884072"
"在这颗行星所有的酒馆","万能青年旅店","万能青年旅店","リプレイ：2025年","Playlist","FR26V2014408","1538548892"
"Stand By Me","オアシス","Be Here Now","リプレイ：2025年","Playlist","GBBQY9700008","425110024"
"潜在表明 - From THE FIRST TAKE","MyGO!!!!!","潜在表明 - From THE FIRST TAKE - Single","リプレイ：2025年","Playlist","JPR562500142","1807947704"
"帝国少女","R Sound Design","City Girl Syndrome","リプレイ：2025年","Playlist","JPS801730747","1309469967"
"過惰幻","MyGO!!!!!","過惰幻 - Single","リプレイ：2025年","Playlist","JPR562400285","1766907429"
"僕はロボットごしの君に恋をする","THE SxPLAY(菅原紗由理)","僕はロボットごしの君に恋をする - Single","リプレイ：2025年","Playlist","JPZ921711513","1297874755"
"Q","椎名もた","アルターワー・セツナポップ","リプレイ：2025年","Playlist","JPJ931300228","1588877611"
"ミュージシャン","きのこ帝国","eureka","リプレイ：2025年","Playlist","JPB451202870","594108051"
"へび","ヨルシカ","へび - Single","リプレイ：2025年","Playlist","JPPO02405696","1787471129"
"PINK","キタニタツヤ","BIPOLAR","リプレイ：2025年","Playlist","JPU902201515","1621277969"
"プロポーズ","9Lana","プロポーズ - Single","リプレイ：2025年","Playlist","JPU902402382","1761525505"
"山雀","万能青年旅店","冀西南林路行","リプレイ：2025年","Playlist","CNA792004472","1545535009"
"山海","No Party For Cao Dong","醜奴兒","リプレイ：2025年","Playlist","TWBN31600010","1676736010"
"メフィスト","女王蜂","メフィスト - Single","リプレイ：2025年","Playlist","JPU902301574","1681043393"
"海辺のカフェ","sympathy","海鳴りと絶景","リプレイ：2025年","Playlist","JPVI01641630","1203183783"
"INTERNET OVERDOSE","NEEDY GIRL OVERDOSE, KOTOKO & Aiobahn +81","INTERNET OVERDOSE - Single","リプレイ：2025年","Playlist","TCJPO2158192","1564851091"
"但","No Party For Cao Dong","瓦合","リプレイ：2025年","Playlist","TWKH12300011","1679884080"
"Angel","X JAPAN","Angel - Single","リプレイ：2025年","Playlist","USA2P2336995","1698011769"
"歩拾道","MyGO!!!!!","歩拾道 - Single","リプレイ：2025年","Playlist","JPR562400335","1775842204"
"カワキヲアメク","美波","カワキヲアメク - EP","リプレイ：2025年","Playlist","JPVI01817011","1725802551"
"Komm,susser Tod (Mー10 Director's Edit.Version)","ARIANNE","EVANGELION FINALLY","リプレイ：2025年","Playlist","JPKI09716710","1554031706"